icao,maxTraffic
KABQ,880
KADW,2
KAFW,135
KAGS,0
KAMA,0
KATL,8221
KAUS,1732
KAVL,7
KBDL,34
KBFI,363
KBGR,0
KBHM,3
KBIL,0
KBLV,21
KBMI,39
KBNA,2615
KBOI,844
KBOS,4731
KBUF,870
KBWI,2661
KCAE,430
KCHA,2
KCID,10
KCLE,1268
KCLT,4053
KCMH,1540
KCOS,313
KCRP,182
KCRW,0
KCVG,1710
KDAB,122
KDAL,2090
KDAY,509
KDBQ,21
KDCA,3808
KDEN,5006
KDFW,6065
KDLF,0
KDLH,0
KDSM,5
KDTW,3852
KERI,68
KEWR,4303
KFLL,3146
KFSM,1
KFTW,8
KFWA,159
KGEG,246
KGPT,0
KGRB,225
KGSO,310
KGSP,11
KGUS,1
KHIB,0
KHOU,1571
KHSV,291
KHTS,1
KIAD,2121
KIAH,4216
KICT,0
KIND,307
KJAN,0
KJAX,0
KJFK,3596
KJLN,0
KLAS,5191
KLAX,6716
KLBB,0
KLCK,48
KLEX,1
KLFT,0
KLGA,4637
KLIT,1
KMBS,108
KMCI,1737
KMCO,484
KMDW,2215
KMEM,0
KMGE,7
KMGM,7
KMHT,157
KMIA,3046
KMKE,927
KMLI,118
KMLU,0
KMOB,0
KMSN,577
KMSP,3640
KMSY,2
KOAK,1572
KOKC,369
KOMA,875
KONT,723
KORD,8486
KORF,833
KPBI,0
KPDX,2134
KPHF,103
KPHL,3467
KPHX,5347
KPIA,39
KPIT,292
KPVD,569
KPWM,0
KRDU,2189
KRFD,185
KRIC,2
KRNO,0
KROA,243
KROC,642
KRST,21
KRSW,1751
KSAN,3041
KSAT,1293
KSAV,1
KSBN,5
KSDF,1831
KSEA,4465
KSFB,33
KSFO,4522
KSGF,262
KSJC,1982
KSLC,701
KSMF,1585
KSNA,1449
KSPI,56
KSRQ,365
KSTL,2374
KSUS,8
KSUX,8
KSYR,577
KTLH,4
KTOL,53
KTPA,2588
KTRI,0
KTUL,629
KTUS,241
KTYS,672
KVPS,174
PAFA,0
PANC,641
PHNL,0
