icao,maxTraffic
KABQ,109
KADW,0
KAFW,2
KAGS,0
KAMA,0
KATL,420
KAUS,338
KAVL,0
KBDL,4
KBFI,13
KBGR,0
KBHM,0
KBIL,0
KBLV,0
KBMI,0
KBNA,253
KBOI,42
KBOS,918
KBUF,36
KBWI,150
KCAE,0
KCHA,0
KCID,0
KCLE,47
KCLT,2174
KCMH,113
KCOS,64
KCRP,0
KCRW,0
KCVG,39
KDAB,10
KDAL,0
KDAY,0
KDBQ,0
KDCA,870
KDEN,290
KDFW,3945
KDLF,0
KDLH,0
KDSM,1
KDTW,161
KERI,0
KEWR,265
KFLL,261
KFSM,0
KFTW,0
KFWA,0
KGEG,8
KGPT,0
KGRB,0
KGSO,14
KGSP,0
KGUS,0
KHIB,0
KHOU,0
KHSV,1
KHTS,0
KIAD,76
KIAH,251
KICT,0
KIND,21
KJAN,0
KJAX,0
KJFK,566
KJLN,0
KLAS,507
KLAX,1240
KLBB,0
KLCK,0
KLEX,0
KLFT,0
KLGA,853
KLIT,0
KMBS,0
KMCI,170
KMCO,64
KMDW,2
KMEM,0
KMGE,0
KMGM,0
KMHT,0
KMIA,1666
KMKE,54
KMLI,0
KMLU,0
KMOB,0
KMSN,25
KMSP,182
KMSY,0
KOAK,45
KOKC,14
KOMA,67
KONT,108
KORD,1818
KORF,70
KPBI,0
KPDX,104
KPHF,0
KPHL,1312
KPHX,1835
KPIA,0
KPIT,27
KPVD,67
KPWM,0
KRDU,377
KRFD,0
KRIC,1
KRNO,0
KROA,0
KROC,20
KRST,0
KRSW,244
KSAN,332
KSAT,297
KSAV,0
KSBN,0
KSDF,24
KSEA,222
KSFB,11
KSFO,484
KSGF,0
KSJC,141
KSLC,50
KSMF,124
KSNA,228
KSPI,0
KSRQ,13
KSTL,287
KSUS,0
KSUX,0
KSYR,39
KTLH,0
KTOL,0
KTPA,418
KTRI,0
KTUL,112
KTUS,35
KTYS,4
KVPS,18
PAFA,0
PANC,0
PHNL,0
