icao,maxTraffic
KABQ,36
KADW,0
KAFW,0
KAGS,0
KAMA,0
KATL,5213
KAUS,213
KAVL,1
KBDL,8
KBFI,53
KBGR,0
KBHM,4
KBIL,0
KBLV,0
KBMI,0
KBNA,259
KBOI,23
KBOS,554
KBUF,71
KBWI,225
KCAE,33
KCHA,1
KCID,0
KCLE,91
KCLT,205
KCMH,142
KCOS,10
KCRP,0
KCRW,0
KCVG,203
KDAB,71
KDAL,74
KDAY,55
KDBQ,0
KDCA,342
KDEN,287
KDFW,309
KDLF,0
KDLH,0
KDSM,1
KDTW,1626
KERI,0
KEWR,196
KFLL,373
KFSM,0
KFTW,0
KFWA,0
KGEG,18
KGPT,0
KGRB,27
KGSO,51
KGSP,8
KGUS,0
KHIB,0
KHOU,83
KHSV,65
KHTS,0
KIAD,113
KIAH,161
KICT,0
KIND,39
KJAN,0
KJAX,0
KJFK,1038
KJLN,0
KLAS,539
KLAX,984
KLBB,0
KLCK,0
KLEX,0
KLFT,0
KLIT,0
KMBS,0
KMCI,205
KMCO,100
KMDW,74
KMEM,0
KMGE,0
KMGM,0
KMHT,2
KMIA,323
KMKE,129
KMLI,0
KMLU,0
KMOB,0
KMSN,70
KMSP,1575
KMSY,0
KOAK,16
KOKC,36
KOMA,65
KONT,27
KORD,342
KORF,121
KPBI,0
KPDX,212
KPHF,11
KPHL,211
KPHX,350
KPIA,0
KPIT,15
KPVD,57
KPWM,0
KRDU,357
KRFD,0
KRIC,1
KRNO,3
KROA,15
KROC,54
KRST,0
KRSW,286
KSAN,269
KSAT,115
KSAV,1
KSBN,0
KSDF,107
KSEA,921
KSFB,5
KSFO,491
KSGF,0
KSJC,141
KSLC,357
KSMF,95
KSNA,108
KSPI,0
KSRQ,84
KSTL,196
KSUS,0
KSUX,0
KSYR,51
KTLH,2
KTOL,0
KTPA,415
KTRI,0
KTUL,60
KTUS,32
KTYS,38
KVPS,47
PAFA,0
PANC,49
PHNL,0
