icao,maxTraffic
KABQ,4
KADW,0
KAFW,0
KAGS,0
KAMA,0
KATL,99
KAUS,39
KAVL,0
KBDL,0
KBFI,1
KBGR,0
KBHM,0
KBIL,0
KBLV,0
KBMI,0
KBNA,21
KBOI,0
KBOS,13
KBUF,14
KBWI,7
KCAE,0
KCHA,0
KCID,0
KCLE,74
KCLT,25
KCMH,4
KCOS,41
KCRP,0
KCRW,0
KCVG,62
KDAB,0
KDAL,0
KDAY,0
KDBQ,0
KDCA,28
KDEN,385
KDFW,33
KDLF,0
KDLH,0
KDSM,0
KDTW,33
KERI,0
KEWR,80
KFLL,19
KFSM,0
KFTW,0
KFWA,0
KGEG,4
KGPT,0
KGRB,1
KGSO,0
KGSP,0
KGUS,0
KHIB,0
KHOU,0
KHSV,1
KHTS,0
KIAD,7
KIAH,25
KICT,0
KIND,4
KJAN,0
KJAX,0
KJFK,0
KJLN,0
KLAS,428
KLAX,49
KLBB,0
KLCK,0
KLEX,0
KLFT,0
KLIT,0
KMBS,0
KMCI,10
KMCO,56
KMDW,0
KMEM,0
KMGE,0
KMGM,0
KMHT,0
KMIA,128
KMKE,39
KMLI,0
KMLU,0
KMOB,0
KMSN,14
KMSP,32
KMSY,0
KOAK,0
KOKC,3
KOMA,24
KONT,9
KORD,86
KORF,8
KPBI,0
KPDX,16
KPHF,0
KPHL,135
KPHX,161
KPIA,0
KPIT,0
KPVD,15
KPWM,0
KRDU,57
KRFD,0
KRIC,0
KRNO,0
KROA,0
KROC,0
KRST,0
KRSW,115
KSAN,50
KSAT,13
KSAV,0
KSBN,0
KSDF,1
KSEA,16
KSFB,4
KSFO,51
KSGF,0
KSJC,25
KSLC,20
KSMF,32
KSNA,24
KSPI,0
KSRQ,15
KSTL,31
KSUS,0
KSUX,0
KSYR,12
KTLH,0
KTOL,0
KTPA,138
KTRI,0
KTUL,0
KTUS,2
KTYS,4
KVPS,0
PAFA,0
PANC,0
PHNL,0
