icao,maxTraffic
KABQ,368
KADW,0
KAFW,0
KAGS,0
KAMA,0
KATL,1059
KAUS,553
KAVL,0
KBDL,5
KBFI,24
KBGR,0
KBHM,0
KBIL,0
KBLV,0
KBMI,0
KBNA,1169
KBOI,157
KBOS,247
KBUF,140
KBWI,1637
KCAE,0
KCHA,0
KCID,0
KCLE,166
KCLT,84
KCMH,356
KCOS,1
KCRP,41
KCRW,0
KCVG,88
KDAB,0
KDAL,1841
KDAY,0
KDBQ,0
KDCA,493
KDEN,1576
KDFW,1
KDLF,0
KDLH,0
KDSM,0
KDTW,145
KERI,0
KEWR,1
KFLL,779
KFSM,0
KFTW,0
KFWA,0
KGEG,32
KGPT,0
KGRB,0
KGSO,0
KGSP,2
KGUS,0
KHIB,0
KHOU,1398
KHSV,0
KHTS,0
KIAD,60
KIAH,0
KICT,0
KIND,45
KJAN,0
KJAX,0
KJFK,0
KJLN,0
KLAS,1858
KLAX,1194
KLBB,0
KLCK,1
KLEX,0
KLFT,0
KLGA,428
KLIT,1
KMBS,0
KMCI,772
KMCO,125
KMDW,2050
KMEM,0
KMGE,0
KMGM,0
KMHT,33
KMIA,0
KMKE,305
KMLI,0
KMLU,0
KMOB,0
KMSN,0
KMSP,218
KMSY,0
KOAK,1032
KOKC,105
KOMA,239
KONT,275
KORD,0
KORF,67
KPBI,0
KPDX,338
KPHF,0
KPHL,209
KPHX,1823
KPIA,0
KPIT,31
KPVD,155
KPWM,0
KRDU,287
KRFD,0
KRIC,0
KRNO,0
KROA,0
KROC,47
KRST,0
KRSW,369
KSAN,1299
KSAT,455
KSAV,0
KSBN,0
KSDF,131
KSEA,322
KSFB,4
KSFO,434
KSGF,0
KSJC,1001
KSLC,142
KSMF,793
KSNA,500
KSPI,0
KSRQ,0
KSTL,1131
KSUS,0
KSUX,0
KSYR,0
KTLH,0
KTOL,0
KTPA,737
KTRI,0
KTUL,159
KTUS,49
KTYS,0
KVPS,0
PAFA,0
PANC,0
PHNL,0
