icao,maxTraffic
KABQ,0
KADW,0
KAFW,0
KAGS,0
KAMA,0
KATL,308
KAUS,77
KAVL,0
KBDL,3
KBFI,2
KBGR,0
KBHM,0
KBIL,0
KBLV,0
KBMI,0
KBNA,66
KBOI,0
KBOS,112
KBUF,0
KBWI,253
KCAE,0
KCHA,0
KCID,0
KCLE,69
KCLT,33
KCMH,52
KCOS,2
KCRP,0
KCRW,0
KCVG,0
KDAB,0
KDAL,1
KDAY,0
KDBQ,0
KDCA,0
KDEN,101
KDFW,235
KDLF,0
KDLH,0
KDSM,0
KDTW,312
KERI,0
KEWR,121
KFLL,601
KFSM,0
KFTW,0
KFWA,0
KGEG,0
KGPT,0
KGRB,0
KGSO,1
KGSP,0
KGUS,0
KHIB,0
KHOU,0
KHSV,0
KHTS,0
KIAD,0
KIAH,211
KICT,0
KIND,9
KJAN,0
KJAX,0
KJFK,0
KJLN,0
KLAS,553
KLAX,247
KLBB,0
KLCK,0
KLEX,0
KLFT,0
KLGA,122
KLIT,0
KMBS,0
KMCI,41
KMCO,40
KMDW,0
KMEM,0
KMGE,0
KMGM,0
KMHT,0
KMIA,0
KMKE,0
KMLI,0
KMLU,0
KMOB,0
KMSN,0
KMSP,114
KMSY,0
KOAK,57
KOKC,0
KOMA,0
KONT,0
KORD,279
KORF,0
KPBI,0
KPDX,23
KPHF,0
KPHL,111
KPHX,57
KPIA,0
KPIT,14
KPVD,0
KPWM,0
KRDU,43
KRFD,0
KRIC,0
KRNO,0
KROA,0
KROC,0
KRST,0
KRSW,155
KSAN,62
KSAT,0
KSAV,0
KSBN,0
KSDF,0
KSEA,41
KSFB,6
KSFO,0
KSGF,0
KSJC,0
KSLC,0
KSMF,41
KSNA,0
KSPI,0
KSRQ,0
KSTL,0
KSUS,0
KSUX,0
KSYR,0
KTLH,0
KTOL,0
KTPA,282
KTRI,0
KTUL,0
KTUS,0
KTYS,0
KVPS,0
PAFA,0
PANC,0
PHNL,0
