icao,maxTraffic
KABQ,33
KADW,1
KAFW,0
KAGS,0
KAMA,0
KATL,155
KAUS,289
KAVL,0
KBDL,1
KBFI,17
KBGR,0
KBHM,0
KBIL,0
KBLV,0
KBMI,0
KBNA,127
KBOI,23
KBOS,425
KBUF,25
KBWI,107
KCAE,0
KCHA,0
KCID,1
KCLE,167
KCLT,13
KCMH,33
KCOS,23
KCRP,0
KCRW,0
KCVG,14
KDAB,2
KDAL,0
KDAY,0
KDBQ,0
KDCA,132
KDEN,1362
KDFW,210
KDLF,0
KDLH,0
KDSM,1
KDTW,49
KERI,0
KEWR,1722
KFLL,328
KFSM,0
KFTW,0
KFWA,0
KGEG,10
KGPT,0
KGRB,0
KGSO,1
KGSP,0
KGUS,0
KHIB,0
KHOU,3
KHSV,0
KHTS,0
KIAD,812
KIAH,1756
KICT,0
KIND,4
KJAN,0
KJAX,0
KJFK,0
KJLN,0
KLAS,514
KLAX,720
KLBB,0
KLCK,0
KLEX,0
KLFT,0
KLIT,0
KMBS,0
KMCI,54
KMCO,43
KMDW,2
KMEM,0
KMGE,0
KMGM,0
KMHT,0
KMIA,303
KMKE,6
KMLI,0
KMLU,0
KMOB,0
KMSN,43
KMSP,102
KMSY,2
KOAK,1
KOKC,4
KOMA,62
KONT,11
KORD,1932
KORF,35
KPBI,0
KPDX,215
KPHF,0
KPHL,117
KPHX,335
KPIA,0
KPIT,10
KPVD,0
KPWM,0
KRDU,151
KRFD,4
KRIC,0
KRNO,4
KROA,0
KROC,16
KRST,0
KRSW,221
KSAN,370
KSAT,159
KSAV,0
KSBN,0
KSDF,2
KSEA,293
KSFB,3
KSFO,1574
KSGF,0
KSJC,58
KSLC,25
KSMF,103
KSNA,216
KSPI,0
KSRQ,53
KSTL,17
KSUS,0
KSUX,0
KSYR,14
KTLH,0
KTOL,0
KTPA,288
KTRI,0
KTUL,24
KTUS,18
KTYS,0
KVPS,0
PAFA,0
PANC,17
PHNL,0
