routeStart,routeEnd,maxTraffic
KABQ,KABQ,1
KABQ,KADW,0
KABQ,KAFW,0
KABQ,KATL,13
KABQ,KAUS,9
KABQ,KAVL,0
KABQ,KBDL,0
KABQ,KBFI,1
KABQ,KBHM,0
KABQ,KBLV,0
KABQ,KBMI,0
KABQ,KBNA,0
KABQ,KBOI,1
KABQ,KBOS,0
KABQ,KBUF,0
KABQ,KBWI,8
KABQ,KCAE,0
KABQ,KCHA,0
KABQ,KCID,0
KABQ,KCLE,0
KABQ,KCLT,0
KABQ,KCMH,0
KABQ,KCOS,0
KABQ,KCRP,0
KABQ,KCVG,0
KABQ,KDAB,0
KABQ,KDAL,32
KABQ,KDAY,0
KABQ,KDBQ,0
KABQ,KDCA,1
KABQ,KDEN,26
KABQ,KDFW,54
KABQ,KDSM,0
KABQ,KDTW,0
KABQ,KERI,0
KABQ,KEWR,0
KABQ,KFLL,0
KABQ,KFSM,0
KABQ,KFTW,0
KABQ,KFWA,0
KABQ,KGEG,0
KABQ,KGRB,0
KABQ,KGSO,0
KABQ,KGSP,0
KABQ,KGUS,0
KABQ,KHOU,19
KABQ,KHSV,0
KABQ,KHTS,0
KABQ,KIAD,0
KABQ,KIAH,36
KABQ,KIND,0
KABQ,KJAX,0
KABQ,KJFK,7
KABQ,KLAS,24
KABQ,KLAX,48
KABQ,KLCK,0
KABQ,KLEX,0
KABQ,KLIT,0
KABQ,KMBS,0
KABQ,KMCI,6
KABQ,KMCO,0
KABQ,KMDW,10
KABQ,KMEM,0
KABQ,KMGE,0
KABQ,KMGM,0
KABQ,KMHT,0
KABQ,KMIA,0
KABQ,KMKE,0
KABQ,KMLI,0
KABQ,KMSN,1
KABQ,KMSP,1
KABQ,KMSY,0
KABQ,KOAK,12
KABQ,KOKC,0
KABQ,KOMA,0
KABQ,KONT,3
KABQ,KORD,28
KABQ,KORF,0
KABQ,KPDX,7
KABQ,KPHF,0
KABQ,KPHL,0
KABQ,KPHX,82
KABQ,KPIA,0
KABQ,KPIT,0
KABQ,KPVD,0
KABQ,KRDU,0
KABQ,KRFD,0
KABQ,KRIC,0
KABQ,KRNO,0
KABQ,KROA,0
KABQ,KROC,0
KABQ,KRST,0
KABQ,KRSW,0
KABQ,KSAN,13
KABQ,KSAT,1
KABQ,KSAV,0
KABQ,KSBN,0
KABQ,KSDF,8
KABQ,KSEA,13
KABQ,KSFB,0
KABQ,KSFO,14
KABQ,KSGF,0
KABQ,KSJC,7
KABQ,KSLC,12
KABQ,KSMF,1
KABQ,KSNA,0
KABQ,KSPI,0
KABQ,KSRQ,0
KABQ,KSTL,1
KABQ,KSUS,0
KABQ,KSUX,0
KABQ,KSYR,0
KABQ,KTLH,0
KABQ,KTOL,0
KABQ,KTPA,0
KABQ,KTUL,0
KABQ,KTUS,1
KABQ,KTYS,0
KABQ,KVPS,0
KABQ,PANC,0
KADW,KABQ,0
KADW,KADW,0
KADW,KAFW,0
KADW,KATL,0
KADW,KAUS,0
KADW,KAVL,0
KADW,KBDL,0
KADW,KBFI,0
KADW,KBHM,0
KADW,KBLV,0
KADW,KBMI,0
KADW,KBNA,0
KADW,KBOI,0
KADW,KBOS,0
KADW,KBUF,0
KADW,KBWI,0
KADW,KCAE,0
KADW,KCHA,0
KADW,KCID,0
KADW,KCLE,0
KADW,KCLT,0
KADW,KCMH,0
KADW,KCOS,0
KADW,KCRP,0
KADW,KCVG,0
KADW,KDAB,0
KADW,KDAL,0
KADW,KDAY,0
KADW,KDBQ,0
KADW,KDCA,0
KADW,KDEN,0
KADW,KDFW,0
KADW,KDSM,0
KADW,KDTW,0
KADW,KERI,0
KADW,KEWR,0
KADW,KFLL,0
KADW,KFSM,0
KADW,KFTW,0
KADW,KFWA,0
KADW,KGEG,0
KADW,KGRB,0
KADW,KGSO,0
KADW,KGSP,0
KADW,KGUS,0
KADW,KHOU,0
KADW,KHSV,0
KADW,KHTS,0
KADW,KIAD,0
KADW,KIAH,1
KADW,KIND,0
KADW,KJAX,0
KADW,KJFK,0
KADW,KLAS,0
KADW,KLAX,0
KADW,KLCK,1
KADW,KLEX,0
KADW,KLIT,0
KADW,KMBS,0
KADW,KMCI,0
KADW,KMCO,0
KADW,KMDW,0
KADW,KMEM,0
KADW,KMGE,0
KADW,KMGM,0
KADW,KMHT,0
KADW,KMIA,0
KADW,KMKE,0
KADW,KMLI,0
KADW,KMSN,0
KADW,KMSP,0
KADW,KMSY,0
KADW,KOAK,0
KADW,KOKC,0
KADW,KOMA,0
KADW,KONT,0
KADW,KORD,0
KADW,KORF,0
KADW,KPDX,0
KADW,KPHF,0
KADW,KPHL,0
KADW,KPHX,0
KADW,KPIA,0
KADW,KPIT,0
KADW,KPVD,0
KADW,KRDU,0
KADW,KRFD,0
KADW,KRIC,0
KADW,KRNO,0
KADW,KROA,0
KADW,KROC,0
KADW,KRST,0
KADW,KRSW,0
KADW,KSAN,0
KADW,KSAT,0
KADW,KSAV,0
KADW,KSBN,0
KADW,KSDF,0
KADW,KSEA,0
KADW,KSFB,0
KADW,KSFO,0
KADW,KSGF,0
KADW,KSJC,0
KADW,KSLC,0
KADW,KSMF,0
KADW,KSNA,0
KADW,KSPI,0
KADW,KSRQ,0
KADW,KSTL,0
KADW,KSUS,0
KADW,KSUX,0
KADW,KSYR,0
KADW,KTLH,0
KADW,KTOL,0
KADW,KTPA,0
KADW,KTUL,0
KADW,KTUS,0
KADW,KTYS,0
KADW,KVPS,0
KADW,PANC,0
KAFW,KABQ,0
KAFW,KADW,0
KAFW,KAFW,1
KAFW,KATL,0
KAFW,KAUS,0
KAFW,KAVL,0
KAFW,KBDL,0
KAFW,KBFI,1
KAFW,KBHM,0
KAFW,KBLV,0
KAFW,KBMI,0
KAFW,KBNA,0
KAFW,KBOI,0
KAFW,KBOS,0
KAFW,KBUF,0
KAFW,KBWI,0
KAFW,KCAE,0
KAFW,KCHA,0
KAFW,KCID,0
KAFW,KCLE,0
KAFW,KCLT,0
KAFW,KCMH,0
KAFW,KCOS,1
KAFW,KCRP,0
KAFW,KCVG,7
KAFW,KDAB,0
KAFW,KDAL,0
KAFW,KDAY,0
KAFW,KDBQ,0
KAFW,KDCA,0
KAFW,KDEN,4
KAFW,KDFW,1
KAFW,KDSM,0
KAFW,KDTW,0
KAFW,KERI,0
KAFW,KEWR,0
KAFW,KFLL,1
KAFW,KFSM,0
KAFW,KFTW,0
KAFW,KFWA,0
KAFW,KGEG,0
KAFW,KGRB,0
KAFW,KGSO,0
KAFW,KGSP,0
KAFW,KGUS,0
KAFW,KHOU,0
KAFW,KHSV,0
KAFW,KHTS,0
KAFW,KIAD,1
KAFW,KIAH,4
KAFW,KIND,0
KAFW,KJAX,0
KAFW,KJFK,7
KAFW,KLAS,1
KAFW,KLAX,5
KAFW,KLCK,0
KAFW,KLEX,0
KAFW,KLIT,0
KAFW,KMBS,0
KAFW,KMCI,2
KAFW,KMCO,0
KAFW,KMDW,0
KAFW,KMEM,0
KAFW,KMGE,0
