week,startCode,destCode,amount
1,KABQ,KATL,10
1,KABQ,KAUS,5
1,KABQ,KBWI,4
1,KABQ,KDAL,17
1,KABQ,KDEN,8
1,KABQ,KDFW,34
1,KABQ,KHOU,11
1,KABQ,KIAH,23
1,KABQ,KJFK,5
1,KABQ,KLAS,18
1,KABQ,KLAX,26
1,KABQ,KMCI,4
1,KABQ,KMDW,10
1,KABQ,KMSP,1
1,KABQ,KOAK,10
1,KABQ,KORD,17
1,KABQ,KPDX,3
1,KABQ,KPHX,47
1,KABQ,KSAN,6
1,KABQ,KSEA,5
1,KABQ,KSFO,10
1,KABQ,KSJC,3
1,KABQ,KSLC,4
1,KABQ,KSTL,1
1,KAFW,KDEN,1
1,KAFW,KFLL,1
1,KAFW,KIAH,1
1,KAFW,KJFK,1
1,KAFW,KLAX,1
1,KAFW,KMCI,1
1,KAFW,KMSP,2
1,KAFW,KOAK,2
1,KAFW,KORD,2
1,KAFW,KSAN,1
1,KAFW,KSAT,1
1,KAFW,KSEA,4
1,KAFW,KSLC,1
1,KAFW,KSMF,3
1,KAFW,KTPA,1
1,KAFW,KTUL,3
1,KAFW,PANC,2
1,KATL,KABQ,9
1,KATL,KAFW,2
1,KATL,KATL,44
1,KATL,KAUS,14
1,KATL,KBMI,5
1,KATL,KBNA,43
1,KATL,KBOS,59
1,KATL,KBUF,18
1,KATL,KBWI,80
1,KATL,KCAE,25
1,KATL,KCLE,10
1,KATL,KCLT,40
1,KATL,KCMH,40
1,KATL,KCOS,5
1,KATL,KCVG,25
1,KATL,KDAB,22
1,KATL,KDAL,41
1,KATL,KDAY,16
1,KATL,KDCA,72
1,KATL,KDEN,25
1,KATL,KDFW,84
1,KATL,KDTW,53
1,KATL,KEWR,73
1,KATL,KFLL,118
1,KATL,KFWA,5
1,KATL,KGRB,3
1,KATL,KHOU,51
1,KATL,KHSV,6
1,KATL,KIAD,49
1,KATL,KIAH,57
1,KATL,KIND,9
1,KATL,KJFK,46
1,KATL,KLAS,56
1,KATL,KLAX,77
1,KATL,KLGA,99
1,KATL,KMCI,44
1,KATL,KMCO,11
1,KATL,KMDW,52
1,KATL,KMIA,92
1,KATL,KMKE,26
1,KATL,KMSN,12
1,KATL,KMSP,34
1,KATL,KOAK,5
1,KATL,KOMA,19
1,KATL,KORD,86
1,KATL,KORF,34
1,KATL,KPDX,15
1,KATL,KPHF,12
1,KATL,KPHL,76
1,KATL,KPHX,46
1,KATL,KPIA,3
1,KATL,KPVD,6
1,KATL,KRDU,63
1,KATL,KROA,19
1,KATL,KROC,10
1,KATL,KRST,1
1,KATL,KRSW,24
1,KATL,KSAN,25
1,KATL,KSAT,32
1,KATL,KSDF,39
1,KATL,KSEA,35
1,KATL,KSFO,42
1,KATL,KSGF,8
1,KATL,KSJC,11
1,KATL,KSLC,11
1,KATL,KSMF,10
1,KATL,KSNA,14
1,KATL,KSRQ,22
1,KATL,KSTL,46
1,KATL,KSYR,4
1,KATL,KTPA,88
1,KATL,KTUL,20
1,KATL,KTUS,7
1,KATL,KTYS,35
1,KATL,KVPS,27
1,KATL,PANC,6
1,KAUS,KABQ,7
1,KAUS,KATL,46
1,KAUS,KBNA,12
1,KAUS,KBOS,11
1,KAUS,KBWI,19
1,KAUS,KCLT,9
1,KAUS,KCVG,1
1,KAUS,KDAL,40
1,KAUS,KDCA,7
1,KAUS,KDEN,23
1,KAUS,KDFW,51
1,KAUS,KDTW,12
1,KAUS,KEWR,13
1,KAUS,KFLL,11
1,KAUS,KHOU,22
1,KAUS,KIAD,14
1,KAUS,KIAH,42
1,KAUS,KJFK,23
1,KAUS,KLAS,28
1,KAUS,KLAX,46
1,KAUS,KMCI,5
1,KAUS,KMCO,1
1,KAUS,KMDW,17
1,KAUS,KMIA,8
1,KAUS,KMSP,7
1,KAUS,KOAK,3
1,KAUS,KORD,22
1,KAUS,KPDX,5
1,KAUS,KPHL,7
1,KAUS,KPHX,45
1,KAUS,KRDU,1
1,KAUS,KSAN,19
1,KAUS,KSDF,2
1,KAUS,KSEA,9
1,KAUS,KSFO,27
1,KAUS,KSJC,17
1,KAUS,KSLC,3
1,KAUS,KSMF,3
1,KAUS,KSTL,8
1,KAUS,KTPA,9
1,KBFI,KLAX,1
1,KBFI,KMSN,1
1,KBFI,KOAK,13
1,KBFI,KPDX,1
1,KBFI,KSDF,11
1,KBFI,KSJC,1
1,KBLV,KSRQ,1
1,KBLV,KVPS,5
1,KBMI,KATL,7
1,KBMI,KMSN,1
1,KBMI,KORD,4
1,KBNA,KATL,46
1,KBNA,KAUS,6
1,KBNA,KBOS,25
1,KBNA,KBUF,2
1,KBNA,KBWI,36
1,KBNA,KCLE,3
1,KBNA,KCLT,27
1,KBNA,KCMH,9
1,KBNA,KCVG,2
1,KBNA,KDAL,25
1,KBNA,KDCA,38
1,KBNA,KDEN,16
1,KBNA,KDFW,36
1,KBNA,KDTW,23
1,KBNA,KEWR,27
1,KBNA,KFLL,26
1,KBNA,KHOU,17
1,KBNA,KIAD,14
1,KBNA,KIAH,28
1,KBNA,KIND,2
1,KBNA,KJFK,18
1,KBNA,KLAS,19
1,KBNA,KLAX,34
1,KBNA,KLGA,52
1,KBNA,KMCI,12
1,KBNA,KMDW,26
1,KBNA,KMIA,14
1,KBNA,KMKE,5
1,KBNA,KMSP,12
1,KBNA,KOAK,4
1,KBNA,KOMA,1
1,KBNA,KORD,61
1,KBNA,KORF,1
1,KBNA,KPHL,25
1,KBNA,KPHX,17
1,KBNA,KRDU,16
1,KBNA,KSAN,9
1,KBNA,KSAT,5
1,KBNA,KSEA,13
1,KBNA,KSFO,6
1,KBNA,KSJC,3
1,KBNA,KSLC,2
1,KBNA,KSRQ,1
1,KBNA,KSTL,14
1,KBNA,KTPA,25
1,KBNA,KTYS,1
1,KBOI,KDEN,16
1,KBOI,KDFW,13
1,KBOI,KGEG,1
1,KBOI,KIAH,5
1,KBOI,KLAS,12
1,KBOI,KLAX,23
1,KBOI,KLCK,1
1,KBOI,KMSP,5
1,KBOI,KOAK,12
1,KBOI,KORD,20
1,KBOI,KPDX,21
1,KBOI,KPHX,17
1,KBOI,KSAN,10
1,KBOI,KSDF,1
1,KBOI,KSEA,72
1,KBOI,KSFO,28
1,KBOI,KSJC,8
1,KBOI,KSMF,10
1,KBOI,KTUL,1
1,KBOS,KATL,60
1,KBOS,KAUS,7
1,KBOS,KBNA,24
1,KBOS,KBOS,33
1,KBOS,KBUF,15
1,KBOS,KBWI,53
1,KBOS,KCAE,2
1,KBOS,KCLE,3
1,KBOS,KCLT,35
1,KBOS,KCMH,11
1,KBOS,KCVG,10
1,KBOS,KDAL,4
1,KBOS,KDCA,76
1,KBOS,KDEN,3
1,KBOS,KDFW,30
1,KBOS,KDTW,32
1,KBOS,KEWR,71
1,KBOS,KFLL,53
1,KBOS,KHOU,2
1,KBOS,KIAD,13
1,KBOS,KIAH,28
1,KBOS,KIND,1
1,KBOS,KJFK,63
1,KBOS,KLAS,26
1,KBOS,KLAX,63
1,KBOS,KLGA,69
1,KBOS,KMCI,6
1,KBOS,KMCO,5
1,KBOS,KMDW,21
1,KBOS,KMHT,2
1,KBOS,KMIA,51
1,KBOS,KMKE,4
1,KBOS,KMSP,24
1,KBOS,KOAK,2
1,KBOS,KORD,73
1,KBOS,KORF,3
1,KBOS,KPDX,6
1,KBOS,KPHL,78
1,KBOS,KPHX,24
1,KBOS,KRDU,41
1,KBOS,KROC,13
1,KBOS,KRSW,29
1,KBOS,KSAN,14
1,KBOS,KSDF,5
1,KBOS,KSEA,22
