week,startCode,destCode,amount
1,KABQ,KDFW,26
1,KABQ,KPHX,14
1,KATL,KCLT,10
1,KATL,KDCA,4
1,KATL,KDFW,37
1,KATL,KLAX,19
1,KATL,KLGA,5
1,KATL,KMIA,20
1,KATL,KORD,14
1,KATL,KPHL,18
1,KATL,KPHX,11
1,KAUS,KCLT,9
1,KAUS,KDFW,51
1,KAUS,KJFK,4
1,KAUS,KLAX,16
1,KAUS,KMIA,5
1,KAUS,KORD,11
1,KAUS,KPHL,7
1,KAUS,KPHX,24
1,KBNA,KCLT,14
1,KBNA,KDFW,34
1,KBNA,KLAX,15
1,KBNA,KMIA,13
1,KBNA,KPHL,10
1,KBOI,KPHX,10
1,KBOS,KBOS,1
1,KBOS,KCLT,26
1,KBOS,KDCA,25
1,KBOS,KDFW,25
1,KBOS,KJFK,15
1,KBOS,KLAX,21
1,KBOS,KLGA,25
1,KBOS,KMIA,39
1,KBOS,KORD,23
1,KBOS,KPHL,30
1,KBOS,KPHX,19
1,KBUF,KCLT,9
1,KBWI,KCLT,20
1,KBWI,KDFW,14
1,KBWI,KORD,4
1,KBWI,KPHX,6
1,KCLE,KCLT,9
1,KCLE,KDFW,14
1,KCLT,KATL,14
1,KCLT,KAUS,12
1,KCLT,KBNA,19
1,KCLT,KBOS,40
1,KCLT,KBUF,12
1,KCLT,KBWI,35
1,KCLT,KCLE,6
1,KCLT,KCLT,9
1,KCLT,KDCA,36
1,KCLT,KDEN,7
1,KCLT,KDFW,47
1,KCLT,KDTW,10
1,KCLT,KEWR,33
1,KCLT,KFLL,34
1,KCLT,KGSO,1
1,KCLT,KIAD,5
1,KCLT,KIAH,19
1,KCLT,KJFK,21
1,KCLT,KLAS,23
1,KCLT,KLAX,35
1,KCLT,KLGA,44
1,KCLT,KMCI,15
1,KCLT,KMCO,9
1,KCLT,KMIA,44
1,KCLT,KMSP,12
1,KCLT,KORD,34
1,KCLT,KORF,13
1,KCLT,KPDX,3
1,KCLT,KPHL,44
1,KCLT,KPHX,33
1,KCLT,KPVD,12
1,KCLT,KRDU,37
1,KCLT,KRSW,15
1,KCLT,KSAN,11
1,KCLT,KSAT,15
1,KCLT,KSEA,13
1,KCLT,KSFO,18
1,KCLT,KSLC,1
1,KCLT,KSMF,4
1,KCLT,KSTL,9
1,KCLT,KSYR,6
1,KCLT,KTPA,44
1,KCLT,KTUL,5
1,KCMH,KDFW,19
1,KCMH,KLAX,10
1,KCMH,KLGA,2
1,KCMH,KPHX,10
1,KCOS,KDFW,9
1,KCOS,KPHX,5
1,KCVG,KDFW,5
1,KCVG,KPHX,5
1,KDCA,KATL,3
1,KDCA,KBOS,25
1,KDCA,KCLT,20
1,KDCA,KDCA,8
1,KDCA,KDFW,39
1,KDCA,KJFK,6
1,KDCA,KLAS,5
1,KDCA,KLAX,9
1,KDCA,KLGA,8
1,KDCA,KMCO,2
1,KDCA,KMIA,45
1,KDCA,KORD,33
1,KDCA,KPHL,5
1,KDCA,KPHX,13
1,KDCA,KRDU,3
1,KDCA,KRSW,3
1,KDCA,KTPA,22
1,KDEN,KCLT,9
1,KDEN,KDFW,35
1,KDEN,KLAX,9
1,KDEN,KMIA,20
1,KDEN,KORD,18
1,KDEN,KPHL,4
1,KDEN,KPHX,20
1,KDFW,KABQ,30
1,KDFW,KATL,37
1,KDFW,KAUS,31
1,KDFW,KBNA,34
1,KDFW,KBOS,28
1,KDFW,KBWI,15
1,KDFW,KCLE,6
1,KDFW,KCLT,22
1,KDFW,KCMH,19
1,KDFW,KCOS,15
1,KDFW,KCVG,4
1,KDFW,KDCA,34
1,KDFW,KDEN,28
1,KDFW,KDFW,28
1,KDFW,KDTW,12
1,KDFW,KEWR,20
1,KDFW,KFLL,30
1,KDFW,KIAD,13
1,KDFW,KIAH,40
1,KDFW,KIND,5
1,KDFW,KJFK,12
1,KDFW,KLAS,40
1,KDFW,KLAX,64
1,KDFW,KLGA,55
1,KDFW,KMCI,14
1,KDFW,KMCO,6
1,KDFW,KMIA,61
1,KDFW,KMKE,3
1,KDFW,KMSP,18
1,KDFW,KOMA,10
1,KDFW,KONT,6
1,KDFW,KORD,57
1,KDFW,KORF,4
1,KDFW,KPDX,13
1,KDFW,KPHL,37
1,KDFW,KPHX,57
1,KDFW,KRDU,23
1,KDFW,KRSW,13
1,KDFW,KSAN,41
1,KDFW,KSAT,42
1,KDFW,KSEA,32
1,KDFW,KSFB,1
1,KDFW,KSFO,33
1,KDFW,KSJC,14
1,KDFW,KSLC,9
1,KDFW,KSMF,23
1,KDFW,KSNA,41
1,KDFW,KSTL,24
1,KDFW,KTPA,32
1,KDFW,KTUL,22
1,KDFW,KTUS,10
1,KDFW,KVPS,9
1,KDTW,KCLT,2
1,KDTW,KDFW,15
1,KDTW,KMIA,6
1,KDTW,KORD,1
1,KDTW,KPHL,4
1,KDTW,KPHX,8
1,KEWR,KCLT,22
1,KEWR,KDFW,18
1,KEWR,KMIA,15
1,KEWR,KORD,13
1,KEWR,KPHX,20
1,KFLL,KCLT,23
1,KFLL,KDFW,29
1,KFLL,KORD,16
1,KFLL,KPHL,21
1,KFLL,KPHX,4
1,KFLL,KSAN,1
1,KIAD,KCLT,1
1,KIAD,KDFW,2
1,KIAD,KLAX,3
1,KIAH,KCLT,12
1,KIAH,KDFW,41
1,KIAH,KLAX,8
1,KIAH,KMIA,15
1,KIAH,KORD,8
1,KIAH,KPHX,12
1,KIND,KCLT,1
1,KIND,KDFW,6
1,KIND,KLAX,2
1,KIND,KPHX,3
1,KJFK,KAUS,3
1,KJFK,KBOS,15
1,KJFK,KCLT,10
1,KJFK,KDCA,5
1,KJFK,KDFW,13
1,KJFK,KJFK,9
1,KJFK,KLAS,5
1,KJFK,KLAX,42
1,KJFK,KMIA,34
1,KJFK,KORD,5
1,KJFK,KPHX,28
1,KJFK,KSFO,10
1,KJFK,KTUL,1
1,KLAS,KCLT,13
1,KLAS,KDCA,5
1,KLAS,KDFW,45
1,KLAS,KJFK,5
1,KLAS,KLAX,34
