week,startCode,destCode,amount
1,KABQ,KATL,10
1,KABQ,KMSP,1
1,KATL,KABQ,9
1,KATL,KATL,32
1,KATL,KAUS,8
1,KATL,KBNA,30
1,KATL,KBOS,47
1,KATL,KBUF,18
1,KATL,KBWI,40
1,KATL,KCLE,8
1,KATL,KCLT,18
1,KATL,KCMH,30
1,KATL,KCOS,5
1,KATL,KCVG,23
1,KATL,KDAB,22
1,KATL,KDAL,17
1,KATL,KDAY,16
1,KATL,KDCA,46
1,KATL,KDEN,14
1,KATL,KDFW,38
1,KATL,KDTW,44
1,KATL,KEWR,34
1,KATL,KFLL,57
1,KATL,KGRB,3
1,KATL,KHOU,21
1,KATL,KHSV,2
1,KATL,KIAD,24
1,KATL,KIAH,31
1,KATL,KIND,5
1,KATL,KJFK,35
1,KATL,KLAS,31
1,KATL,KLAX,46
1,KATL,KLGA,60
1,KATL,KMCI,31
1,KATL,KMCO,9
1,KATL,KMDW,22
1,KATL,KMIA,53
1,KATL,KMKE,19
1,KATL,KMSP,32
1,KATL,KOMA,18
1,KATL,KORD,39
1,KATL,KORF,34
1,KATL,KPDX,15
1,KATL,KPHL,38
1,KATL,KPHX,22
1,KATL,KPVD,6
1,KATL,KRDU,50
1,KATL,KROA,5
1,KATL,KROC,10
1,KATL,KRSW,20
1,KATL,KSAN,20
1,KATL,KSAT,25
1,KATL,KSDF,28
1,KATL,KSEA,23
1,KATL,KSFO,29
1,KATL,KSJC,11
1,KATL,KSLC,11
1,KATL,KSMF,10
1,KATL,KSNA,14
1,KATL,KSRQ,22
1,KATL,KSTL,32
1,KATL,KSYR,4
1,KATL,KTPA,57
1,KATL,KTUL,6
1,KATL,KTUS,7
1,KATL,KVPS,12
1,KATL,PANC,1
1,KAUS,KATL,24
1,KAUS,KDTW,8
1,KAUS,KIAH,1
1,KAUS,KJFK,9
1,KAUS,KLAS,1
1,KAUS,KLAX,10
1,KAUS,KMSP,7
1,KAUS,KSEA,4
1,KAUS,KSLC,2
1,KBNA,KATL,32
1,KBNA,KDTW,11
1,KBNA,KLAX,5
1,KBNA,KMSP,4
1,KBNA,KSEA,3
1,KBNA,KSLC,2
1,KBNA,KTPA,1
1,KBOI,KMSP,3
1,KBOS,KATL,46
1,KBOS,KBOS,10
1,KBOS,KDTW,19
1,KBOS,KFLL,7
1,KBOS,KJFK,4
1,KBOS,KLAS,5
1,KBOS,KLAX,8
1,KBOS,KLGA,2
1,KBOS,KMCO,2
1,KBOS,KMIA,9
1,KBOS,KMSP,16
1,KBOS,KOAK,1
1,KBOS,KRSW,5
1,KBOS,KSEA,4
1,KBOS,KSFO,4
1,KBOS,KTPA,9
1,KBUF,KATL,16
1,KBWI,KATL,40
1,KBWI,KBWI,2
1,KBWI,KDTW,7
1,KBWI,KLGA,1
1,KBWI,KMSP,5
1,KBWI,KSMF,2
1,KCAE,KATL,2
1,KCLE,KATL,23
1,KCLE,KCAE,1
1,KCLE,KCLT,1
1,KCLE,KDAL,1
1,KCLE,KPHL,1
1,KCLE,KSLC,1
1,KCLT,KATL,33
1,KCLT,KDTW,8
1,KCLT,KMSP,4
1,KCLT,KPHL,1
1,KCMH,KATL,27
1,KCMH,KCMH,1
1,KCMH,KLAX,2
1,KCMH,KMSN,1
1,KCOS,KATL,5
1,KCVG,KATL,29
1,KCVG,KBWI,1
1,KCVG,KCVG,2
1,KCVG,KFLL,6
1,KCVG,KLAS,4
1,KCVG,KLAX,4
1,KCVG,KMCO,4
1,KCVG,KMSP,1
1,KCVG,KPHX,4
1,KCVG,KRSW,5
1,KCVG,KSEA,2
1,KCVG,KSFO,3
1,KCVG,KTPA,6
1,KDAB,KATL,23
1,KDAL,KATL,16
1,KDAL,KBNA,1
1,KDAL,KEWR,1
1,KDAL,KSAT,1
1,KDAY,KATL,15
1,KDCA,KATL,45
1,KDCA,KDTW,17
1,KDCA,KJFK,6
1,KDCA,KLAX,5
1,KDCA,KMSP,12
1,KDEN,KATL,34
1,KDEN,KCVG,1
1,KDEN,KDTW,8
1,KDEN,KJFK,9
