week,startCode,destCode,amount
1,KATL,KATL,1
1,KATL,KDEN,2
1,KATL,KEWR,5
1,KATL,KLAS,4
1,KATL,KLAX,1
1,KATL,KLGA,4
1,KATL,KMIA,4
1,KATL,KPHL,3
1,KATL,KRDU,5
1,KATL,KSFO,3
1,KATL,KTPA,2
1,KAUS,KDEN,1
1,KAUS,KIAD,2
1,KAUS,KLAS,4
1,KAUS,KMCO,1
1,KAUS,KSAN,2
1,KAUS,KSFO,3
1,KAUS,KSLC,1
1,KBNA,KDEN,3
1,KBNA,KLAS,3
1,KBNA,KPHL,1
1,KBOS,KMIA,3
1,KBOS,KRDU,1
1,KBUF,KMCO,1
1,KBUF,KRSW,1
1,KBUF,KTPA,3
1,KCLE,KFLL,1
1,KCLE,KLAS,8
1,KCLE,KMIA,3
1,KCLE,KPHX,5
1,KCLE,KRSW,5
1,KCLE,KTPA,9
1,KCLT,KLAS,4
1,KCLT,KPHL,5
1,KCOS,KLAS,6
1,KCOS,KPHX,6
1,KCVG,KFLL,1
1,KCVG,KLAS,5
1,KCVG,KMIA,3
1,KCVG,KPHX,2
1,KCVG,KRSW,2
1,KCVG,KSFB,1
1,KCVG,KSRQ,1
1,KCVG,KTPA,2
1,KDCA,KDEN,1
1,KDEN,KATL,5
1,KDEN,KAUS,2
1,KDEN,KBNA,3
1,KDEN,KBWI,2
1,KDEN,KCLT,1
1,KDEN,KCMH,2
1,KDEN,KCVG,3
1,KDEN,KDCA,12
1,KDEN,KDEN,1
1,KDEN,KDFW,7
1,KDEN,KFLL,3
1,KDEN,KIAH,5
1,KDEN,KIND,1
1,KDEN,KLAS,20
1,KDEN,KLAX,11
1,KDEN,KMCI,3
1,KDEN,KMCO,2
1,KDEN,KMIA,5
1,KDEN,KMKE,1
1,KDEN,KMSN,2
1,KDEN,KMSP,6
1,KDEN,KOMA,3
1,KDEN,KORD,5
1,KDEN,KORF,2
1,KDEN,KPDX,2
1,KDEN,KPHL,5
1,KDEN,KPHX,18
1,KDEN,KRDU,5
1,KDEN,KRSW,3
1,KDEN,KSAN,5
1,KDEN,KSAT,1
1,KDEN,KSEA,3
1,KDEN,KSFO,10
1,KDEN,KSJC,2
1,KDEN,KSLC,2
1,KDEN,KSMF,5
1,KDEN,KSNA,6
1,KDEN,KSTL,1
1,KDEN,KTPA,6
1,KDEN,KTUS,1
1,KDFW,KDEN,5
1,KDFW,KLAS,3
1,KDFW,KPHL,3
1,KDTW,KLAS,3
1,KDTW,KMIA,3
1,KEWR,KATL,5
1,KEWR,KEWR,2
1,KEWR,KLAS,5
1,KEWR,KMIA,10
1,KEWR,KPHX,5
1,KFLL,KCVG,2
1,KFLL,KDEN,2
1,KIAH,KDEN,2
1,KIAH,KLAS,1
1,KIAH,KMCO,1
1,KIND,KLAS,1
1,KLAS,KATL,5
1,KLAS,KAUS,3
1,KLAS,KBNA,2
1,KLAS,KCLE,2
1,KLAS,KCLT,3
1,KLAS,KCOS,7
1,KLAS,KCVG,4
1,KLAS,KDEN,7
1,KLAS,KDFW,3
1,KLAS,KDTW,4
1,KLAS,KEWR,5
1,KLAS,KIAH,2
1,KLAS,KIND,1
1,KLAS,KLAX,6
1,KLAS,KMIA,5
1,KLAS,KMKE,1
1,KLAS,KMSN,1
1,KLAS,KOMA,3
1,KLAS,KORD,4
1,KLAS,KORF,1
1,KLAS,KPDX,1
1,KLAS,KPHL,5
1,KLAS,KPHX,12
1,KLAS,KRDU,5
1,KLAS,KSAN,4
1,KLAS,KSAT,1
1,KLAS,KSEA,3
1,KLAS,KSFO,9
1,KLAS,KSJC,8
1,KLAS,KSMF,8
1,KLAS,KSNA,4
1,KLAS,KSTL,5
1,KLAS,KTPA,6
1,KLAX,KATL,1
1,KLAX,KDEN,4
1,KLAX,KLAS,7
1,KLGA,KATL,5
1,KLGA,KMIA,5
1,KMCI,KDEN,2
1,KMIA,KATL,4
1,KMIA,KBOS,3
1,KMIA,KCLE,2
1,KMIA,KCVG,2
1,KMIA,KDEN,2
1,KMIA,KDTW,3
1,KMIA,KEWR,10
1,KMIA,KLAS,5
1,KMIA,KLGA,5
1,KMIA,KORD,5
1,KMIA,KPHL,5
1,KMIA,KRDU,5
1,KMKE,KLAS,2
1,KMKE,KPHX,3
1,KMKE,KRSW,3
1,KMKE,KTPA,5
