week,startCode,destCode,amount
1,KABQ,KAUS,2
1,KABQ,KBWI,2
1,KABQ,KDAL,8
1,KABQ,KDEN,3
1,KABQ,KHOU,5
1,KABQ,KLAS,7
1,KABQ,KLAX,1
1,KABQ,KMCI,2
1,KABQ,KMDW,4
1,KABQ,KOAK,5
1,KABQ,KPHX,9
1,KABQ,KSAN,1
1,KABQ,KSJC,1
1,KATL,KATL,1
1,KATL,KAUS,3
1,KATL,KBNA,5
1,KATL,KBOS,1
1,KATL,KBWI,11
1,KATL,KCMH,5
1,KATL,KDAL,10
1,KATL,KDCA,6
1,KATL,KDEN,3
1,KATL,KFLL,6
1,KATL,KHOU,11
1,KATL,KIAD,3
1,KATL,KIND,2
1,KATL,KLAS,3
1,KATL,KLAX,2
1,KATL,KMCI,5
1,KATL,KMDW,13
1,KATL,KMKE,4
1,KATL,KOAK,2
1,KATL,KPHL,3
1,KATL,KPHX,4
1,KATL,KRDU,3
1,KATL,KRSW,3
1,KATL,KSAN,2
1,KATL,KSAT,4
1,KATL,KSTL,6
1,KATL,KTPA,7
1,KAUS,KABQ,1
1,KAUS,KATL,7
1,KAUS,KBNA,6
1,KAUS,KBOS,2
1,KAUS,KBWI,6
1,KAUS,KDAL,16
1,KAUS,KDCA,3
1,KAUS,KDEN,3
1,KAUS,KFLL,1
1,KAUS,KHOU,8
1,KAUS,KLAS,10
1,KAUS,KLAX,3
1,KAUS,KMCI,2
1,KAUS,KMDW,7
1,KAUS,KOAK,2
1,KAUS,KPHX,10
1,KAUS,KRDU,1
1,KAUS,KSAN,5
1,KAUS,KSJC,3
1,KAUS,KSMF,2
1,KAUS,KSTL,3
1,KAUS,KTPA,5
1,KBNA,KATL,6
1,KBNA,KAUS,2
1,KBNA,KBOS,6
1,KBNA,KBWI,13
1,KBNA,KCLE,1
1,KBNA,KCLT,3
1,KBNA,KCMH,4
1,KBNA,KDAL,10
1,KBNA,KDCA,7
1,KBNA,KDEN,2
1,KBNA,KDTW,3
1,KBNA,KFLL,4
1,KBNA,KHOU,7
1,KBNA,KLAS,9
1,KBNA,KLAX,6
1,KBNA,KMCI,5
1,KBNA,KMDW,12
1,KBNA,KMKE,4
1,KBNA,KMSP,3
1,KBNA,KOAK,2
1,KBNA,KPHL,6
1,KBNA,KPHX,6
1,KBNA,KRDU,6
1,KBNA,KSAN,4
1,KBNA,KSAT,3
1,KBNA,KSJC,1
1,KBNA,KSTL,6
1,KBNA,KTPA,7
1,KBOI,KDEN,3
1,KBOI,KLAS,5
1,KBOI,KOAK,4
1,KBOI,KPHX,2
1,KBOI,KSAN,1
1,KBOI,KSJC,3
1,KBOI,KSMF,2
1,KBOS,KATL,1
1,KBOS,KAUS,1
1,KBOS,KBNA,4
1,KBOS,KBWI,13
1,KBOS,KCMH,1
1,KBOS,KDAL,2
1,KBOS,KHOU,1
1,KBOS,KMCI,2
1,KBOS,KMDW,8
1,KBOS,KMKE,2
1,KBOS,KSTL,8
1,KBUF,KBWI,7
1,KBUF,KLAS,1
1,KBUF,KMDW,5
1,KBUF,KPHX,2
1,KBUF,KTPA,2
1,KBWI,KABQ,2
1,KBWI,KATL,10
1,KBWI,KAUS,3
1,KBWI,KBNA,10
1,KBWI,KBOS,12
1,KBWI,KBUF,7
1,KBWI,KBWI,4
1,KBWI,KCLE,3
1,KBWI,KCLT,5
1,KBWI,KCMH,8
1,KBWI,KCVG,5
1,KBWI,KDAL,8
1,KBWI,KDTW,3
1,KBWI,KFLL,11
1,KBWI,KHOU,8
1,KBWI,KIND,3
1,KBWI,KLAS,7
1,KBWI,KLAX,4
1,KBWI,KMCI,4
1,KBWI,KMCO,3
1,KBWI,KMDW,11
1,KBWI,KMKE,2
1,KBWI,KMSP,3
1,KBWI,KOAK,1
1,KBWI,KORF,7
1,KBWI,KPHX,5
1,KBWI,KPVD,9
1,KBWI,KRDU,11
1,KBWI,KROC,5
1,KBWI,KRSW,7
1,KBWI,KSAN,6
1,KBWI,KSAT,3
1,KBWI,KSDF,5
1,KBWI,KSEA,3
1,KBWI,KSJC,3
1,KBWI,KSMF,1
1,KBWI,KSNA,1
1,KBWI,KSTL,6
1,KBWI,KTPA,13
1,KCLE,KATL,4
1,KCLE,KBNA,3
1,KCLE,KBWI,6
1,KCLE,KDEN,1
1,KCLE,KMDW,9
1,KCLE,KMKE,2
1,KCLE,KPHX,1
1,KCLE,KSTL,3
1,KCLT,KBNA,4
1,KCLT,KBWI,6
1,KCLT,KDAL,2
1,KCLT,KHOU,2
1,KCLT,KMDW,5
1,KCMH,KATL,4
1,KCMH,KBNA,3
1,KCMH,KBOS,2
1,KCMH,KBWI,8
1,KCMH,KDAL,2
1,KCMH,KDCA,5
1,KCMH,KFLL,1
1,KCMH,KHOU,3
1,KCMH,KLAS,1
1,KCMH,KMDW,8
1,KCMH,KOAK,2
1,KCMH,KPHX,2
1,KCMH,KRSW,3
1,KCMH,KSTL,2
1,KCMH,KTPA,5
1,KCVG,KBWI,4
1,KCVG,KMDW,8
1,KDAL,KABQ,8
1,KDAL,KATL,10
1,KDAL,KAUS,11
1,KDAL,KBNA,8
1,KDAL,KBOS,3
1,KDAL,KBWI,9
1,KDAL,KCLT,1
1,KDAL,KCMH,3
1,KDAL,KDCA,10
1,KDAL,KDEN,4
1,KDAL,KDTW,2
1,KDAL,KFLL,3
1,KDAL,KHOU,32
1,KDAL,KIND,1
1,KDAL,KLAS,9
1,KDAL,KLAX,7
1,KDAL,KMCI,10
1,KDAL,KMCO,2
1,KDAL,KMDW,13
1,KDAL,KMKE,1
1,KDAL,KMSP,2
1,KDAL,KOAK,4
1,KDAL,KOMA,3
1,KDAL,KPDX,2
1,KDAL,KPHL,1
1,KDAL,KPHX,11
1,KDAL,KRDU,3
1,KDAL,KRSW,2
1,KDAL,KSAN,8
1,KDAL,KSAT,7
1,KDAL,KSDF,2
1,KDAL,KSEA,2
1,KDAL,KSFO,1
1,KDAL,KSJC,5
1,KDAL,KSLC,1
1,KDAL,KSMF,3
1,KDAL,KSNA,2
1,KDAL,KSTL,11
1,KDAL,KTPA,6
1,KDAL,KTUL,7
1,KDCA,KATL,8
1,KDCA,KBNA,7
1,KDCA,KCMH,4
1,KDCA,KDAL,10
1,KDCA,KFLL,3
1,KDCA,KHOU,9
1,KDCA,KMCI,4
1,KDCA,KMDW,10
1,KDCA,KMKE,4
1,KDCA,KOMA,1
1,KDCA,KPVD,4
1,KDCA,KSTL,7
1,KDCA,KTPA,4
1,KDEN,KABQ,5
1,KDEN,KATL,6
1,KDEN,KAUS,8
1,KDEN,KBNA,10
1,KDEN,KBOI,4
1,KDEN,KBOS,4
1,KDEN,KBUF,2
1,KDEN,KBWI,7
1,KDEN,KCLE,1
1,KDEN,KCMH,3
1,KDEN,KCVG,2
1,KDEN,KDAL,14
1,KDEN,KDTW,3
1,KDEN,KFLL,2
1,KDEN,KHOU,11
1,KDEN,KIAD,5
1,KDEN,KIND,3
1,KDEN,KLAS,17
1,KDEN,KLAX,12
1,KDEN,KMCI,12
1,KDEN,KMDW,14
1,KDEN,KMKE,5
1,KDEN,KMSP,3
1,KDEN,KOAK,7
1,KDEN,KOKC,1
1,KDEN,KOMA,5
1,KDEN,KONT,1
1,KDEN,KPDX,8
1,KDEN,KPHL,5
1,KDEN,KPHX,18
1,KDEN,KRDU,4
1,KDEN,KSAN,12
1,KDEN,KSAT,5
1,KDEN,KSDF,1
1,KDEN,KSEA,5
1,KDEN,KSFO,11
1,KDEN,KSJC,8
1,KDEN,KSLC,2
1,KDEN,KSMF,7
1,KDEN,KSNA,7
1,KDEN,KSTL,10
1,KDEN,KTPA,7
1,KDEN,KTUL,4
1,KDTW,KMDW,1
1,KFLL,KATL,4
1,KFLL,KBNA,5
1,KFLL,KBUF,2
1,KFLL,KBWI,12
1,KFLL,KCMH,2
1,KFLL,KDAL,7
1,KFLL,KDCA,4
1,KFLL,KFLL,1
1,KFLL,KHOU,7
1,KFLL,KIND,3
1,KFLL,KLAS,1
1,KFLL,KLAX,1
1,KFLL,KMCI,2
1,KFLL,KMCO,1
1,KFLL,KMDW,9
1,KFLL,KMKE,2
1,KFLL,KPHL,3
1,KFLL,KPHX,2
1,KFLL,KPVD,3
1,KFLL,KRDU,4
1,KFLL,KSAT,1
1,KFLL,KSTL,5
1,KFLL,KTPA,6
1,KHOU,KABQ,7
1,KHOU,KATL,9
1,KHOU,KAUS,4
1,KHOU,KBNA,10
1,KHOU,KBOS,2
1,KHOU,KBWI,12
1,KHOU,KCLT,1
1,KHOU,KCMH,2
1,KHOU,KDAL,24
1,KHOU,KDCA,8
1,KHOU,KDEN,4
1,KHOU,KFLL,4
1,KHOU,KHOU,1
1,KHOU,KIND,1
1,KHOU,KLAS,9
1,KHOU,KLAX,8
1,KHOU,KMCI,6
1,KHOU,KMDW,10
1,KHOU,KMKE,2
1,KHOU,KOAK,5
1,KHOU,KOMA,2
1,KHOU,KPHL,1
1,KHOU,KPHX,9
1,KHOU,KRDU,2
1,KHOU,KSAN,9
1,KHOU,KSAT,6
1,KHOU,KSDF,2
1,KHOU,KSJC,2
1,KHOU,KSLC,1
1,KHOU,KSMF,1
1,KHOU,KSTL,8
1,KHOU,KTPA,6
1,KHOU,KTUL,5
1,KIAD,KATL,2
1,KIND,KATL,3
1,KIND,KBWI,4
1,KIND,KDAL,1
1,KIND,KFLL,1
1,KIND,KHOU,1
1,KIND,KLAS,1
1,KIND,KLAX,2
1,KIND,KMCI,3
1,KIND,KMCO,1
1,KIND,KMDW,2
