week,startCode,destCode,amount
1,KATL,KAUS,1
1,KATL,KBOS,2
1,KATL,KBWI,10
1,KATL,KCLE,1
1,KATL,KDFW,5
1,KATL,KDTW,9
1,KATL,KEWR,5
1,KATL,KFLL,27
1,KATL,KIAH,3
1,KATL,KLAS,11
1,KATL,KLAX,4
1,KATL,KMCO,2
1,KATL,KMSP,2
1,KATL,KORD,5
1,KATL,KPHL,4
1,KATL,KTPA,10
1,KAUS,KATL,5
1,KAUS,KBWI,5
1,KAUS,KDEN,2
1,KAUS,KDTW,4
1,KAUS,KFLL,3
1,KAUS,KLAX,5
1,KAUS,KORD,5
1,KBNA,KBWI,5
1,KBNA,KFLL,5
1,KBNA,KTPA,5
1,KBOS,KATL,2
1,KBOS,KBOS,2
1,KBOS,KBWI,4
1,KBOS,KFLL,9
1,KBOS,KLAS,8
1,KBOS,KRDU,5
1,KBOS,KRSW,4
1,KBOS,KTPA,5
1,KBWI,KATL,10
1,KBWI,KAUS,3
1,KBWI,KBNA,5
1,KBWI,KBOS,5
1,KBWI,KBWI,5
1,KBWI,KCLT,1
1,KBWI,KDEN,1
1,KBWI,KDFW,5
1,KBWI,KDTW,5
1,KBWI,KFLL,20
1,KBWI,KIAH,5
1,KBWI,KLAS,5
1,KBWI,KLAX,3
1,KBWI,KMSP,2
1,KBWI,KORD,5
1,KBWI,KRDU,5
1,KBWI,KRSW,2
1,KBWI,KSFB,1
1,KBWI,KTPA,5
1,KCLE,KATL,5
1,KCLE,KFLL,7
1,KCLE,KLAS,5
1,KCLE,KLAX,5
1,KCLE,KRSW,2
1,KCLE,KSFB,1
1,KCLE,KTPA,5
1,KCLT,KBWI,5
1,KCLT,KEWR,5
1,KCLT,KFLL,5
1,KCLT,KMCO,1
1,KCLT,KSFB,1
1,KCMH,KFLL,5
1,KCMH,KLAS,5
1,KCMH,KRSW,3
1,KCMH,KTPA,5
1,KDEN,KAUS,4
1,KDEN,KBWI,5
1,KDEN,KDFW,5
1,KDEN,KDTW,5
1,KDEN,KFLL,8
1,KDEN,KIAH,9
1,KDEN,KLAS,5
1,KDEN,KORD,5
1,KDFW,KATL,5
1,KDFW,KBWI,5
1,KDFW,KDEN,2
1,KDFW,KDTW,5
