week,startCode,destCode,amount
1,KABQ,KDEN,1
1,KATL,KDEN,2
1,KATL,KEWR,8
1,KATL,KIAD,5
1,KATL,KIAH,5
1,KATL,KORD,6
1,KATL,KSFO,10
1,KAUS,KDEN,8
1,KAUS,KEWR,9
1,KAUS,KIAH,28
1,KAUS,KORD,5
1,KAUS,KSFO,12
1,KBNA,KDEN,3
1,KBNA,KEWR,5
1,KBNA,KSFO,6
1,KBOI,KDEN,5
1,KBOS,KDEN,1
1,KBOS,KEWR,32
1,KBOS,KIAD,7
1,KBOS,KIAH,23
1,KBOS,KLAS,1
1,KBOS,KLAX,10
1,KBOS,KORD,25
1,KBOS,KSFO,23
1,KBUF,KEWR,1
1,KBUF,KIAH,1
1,KBWI,KDEN,1
1,KBWI,KIAH,9
1,KBWI,KLAX,3
1,KBWI,KORD,8
1,KBWI,KSFO,5
1,KCLE,KDEN,1
1,KCLE,KEWR,5
1,KCLE,KFLL,4
1,KCLE,KIAH,10
1,KCLE,KLAX,10
1,KCLE,KORD,15
1,KCLE,KRSW,3
1,KCLE,KSFO,9
1,KCLT,KIAH,1
1,KCLT,KORD,1
1,KCMH,KEWR,1
1,KCMH,KORD,1
1,KCMH,KSFO,4
1,KCVG,KDEN,1
1,KCVG,KIAH,4
1,KCVG,KORD,1
1,KCVG,KSFO,4
1,KDCA,KIAH,10
1,KDCA,KORD,18
1,KDCA,KSFO,5
1,KDEN,KABQ,4
1,KDEN,KATL,9
1,KDEN,KAUS,13
1,KDEN,KBNA,5
1,KDEN,KBOI,8
1,KDEN,KBOS,21
1,KDEN,KBWI,6
1,KDEN,KCID,1
1,KDEN,KCLE,6
1,KDEN,KCVG,4
1,KDEN,KDCA,5
1,KDEN,KDEN,5
1,KDEN,KDFW,8
1,KDEN,KDTW,7
1,KDEN,KEWR,33
1,KDEN,KFLL,10
1,KDEN,KGEG,1
1,KDEN,KIAD,28
1,KDEN,KIAH,57
1,KDEN,KIND,1
1,KDEN,KLAS,16
1,KDEN,KLAX,29
1,KDEN,KLGA,26
1,KDEN,KMCI,16
1,KDEN,KMIA,13
1,KDEN,KMSN,1
1,KDEN,KMSP,8
1,KDEN,KOMA,4
1,KDEN,KONT,2
1,KDEN,KORD,35
1,KDEN,KORF,4
1,KDEN,KPDX,18
1,KDEN,KPHL,6
1,KDEN,KPHX,21
1,KDEN,KRDU,8
1,KDEN,KRSW,6
1,KDEN,KSAN,24
1,KDEN,KSAT,9
1,KDEN,KSEA,20
1,KDEN,KSFO,37
1,KDEN,KSJC,6
1,KDEN,KSMF,16
1,KDEN,KSNA,20
1,KDEN,KTPA,11
1,KDEN,KTUS,3
1,KDEN,PANC,6
1,KDFW,KDEN,7
1,KDFW,KEWR,4
1,KDFW,KIAD,5
1,KDFW,KIAH,6
1,KDFW,KORD,9
1,KDFW,KSFO,9
1,KDTW,KDEN,1
1,KDTW,KEWR,1
1,KDTW,KORD,2
1,KDTW,KSFO,3
1,KEWR,KATL,16
1,KEWR,KAUS,7
1,KEWR,KBNA,5
1,KEWR,KBOS,33
1,KEWR,KBUF,1
1,KEWR,KCLE,6
1,KEWR,KCMH,1
1,KEWR,KDCA,1
1,KEWR,KDEN,9
1,KEWR,KDTW,1
1,KEWR,KEWR,59
1,KEWR,KFLL,36
1,KEWR,KIAD,11
1,KEWR,KIAH,46
1,KEWR,KLAS,20
1,KEWR,KLAX,43
1,KEWR,KMCO,3
1,KEWR,KMIA,33
1,KEWR,KORD,44
1,KEWR,KPDX,5
1,KEWR,KPHX,16
1,KEWR,KRDU,19
1,KEWR,KRSW,15
1,KEWR,KSAN,15
1,KEWR,KSAT,3
1,KEWR,KSEA,14
1,KEWR,KSFO,66
1,KEWR,KSMF,5
1,KEWR,KSNA,11
1,KEWR,KSRQ,4
1,KEWR,KTPA,30
1,KFLL,KDEN,7
1,KFLL,KEWR,39
1,KFLL,KIAD,14
1,KFLL,KIAH,28
1,KFLL,KORD,17
1,KFLL,KSFO,10
1,KIAD,KATL,1
1,KIAD,KBOS,4
1,KIAD,KDEN,2
1,KIAD,KEWR,11
1,KIAD,KFLL,9
1,KIAD,KIAD,3
1,KIAD,KIAH,11
1,KIAD,KLAS,4
1,KIAD,KLAX,4
1,KIAD,KMIA,6
1,KIAD,KORD,12
1,KIAD,KORF,4
1,KIAD,KPDX,4
1,KIAD,KPHX,3
1,KIAD,KRDU,6
1,KIAD,KRSW,3
1,KIAD,KSAN,7
1,KIAD,KSAT,1
1,KIAD,KSEA,9
1,KIAD,KSFO,7
1,KIAD,KSMF,1
1,KIAD,KTPA,10
1,KIAH,KAUS,15
1,KIAH,KBOS,22
1,KIAH,KBUF,1
1,KIAH,KBWI,9
1,KIAH,KCLE,8
1,KIAH,KCVG,2
1,KIAH,KDCA,14
1,KIAH,KDEN,31
1,KIAH,KDFW,10
1,KIAH,KEWR,47
1,KIAH,KFLL,27
1,KIAH,KIAD,21
1,KIAH,KIAH,36
1,KIAH,KLAS,33
1,KIAH,KLAX,45
1,KIAH,KLGA,24
1,KIAH,KMCI,4
1,KIAH,KMCO,2
1,KIAH,KMIA,23
1,KIAH,KOMA,4
1,KIAH,KORD,34
1,KIAH,KPDX,9
1,KIAH,KPHL,8
1,KIAH,KPHX,22
1,KIAH,KRDU,4
1,KIAH,KRSW,5
1,KIAH,KSAN,27
1,KIAH,KSAT,23
1,KIAH,KSEA,24
1,KIAH,KSFO,53
1,KIAH,KSJC,9
1,KIAH,KSLC,3
1,KIAH,KSMF,9
1,KIAH,KSNA,19
1,KIAH,KSTL,5
1,KIAH,KTPA,22
1,KIAH,KTUS,2
1,KIND,KSFO,1
1,KLAS,KDEN,6
1,KLAS,KEWR,21
1,KLAS,KIAD,7
1,KLAS,KIAH,30
1,KLAS,KLAX,15
1,KLAS,KORD,20
1,KLAS,KSFO,30
1,KLAX,KBOS,10
1,KLAX,KBWI,5
1,KLAX,KCLE,5
1,KLAX,KDEN,12
1,KLAX,KEWR,57
1,KLAX,KIAD,28
1,KLAX,KIAH,52
1,KLAX,KLAS,19
1,KLAX,KLAX,10
1,KLAX,KOMA,1
1,KLAX,KORD,52
1,KLAX,KSFO,36
1,KLGA,KDEN,6
1,KLGA,KIAH,31
1,KLGA,KORD,25
1,KMCI,KDEN,6
1,KMCI,KIAH,4
1,KMCI,KORD,5
1,KMIA,KDEN,5
1,KMIA,KEWR,26
1,KMIA,KIAD,9
1,KMIA,KIAH,22
1,KMIA,KORD,20
1,KMIA,KSFO,5
1,KMSN,KDEN,1
1,KMSN,KORD,3
1,KMSP,KORD,21
1,KOMA,KEWR,1
1,KOMA,KIAH,4
1,KOMA,KORD,4
1,KONT,KDEN,2
1,KORD,KATL,10
1,KORD,KAUS,11
1,KORD,KBOS,28
1,KORD,KBWI,6
1,KORD,KCLE,8
1,KORD,KCMH,1
1,KORD,KDCA,9
1,KORD,KDEN,7
1,KORD,KDFW,14
1,KORD,KDTW,4
1,KORD,KEWR,45
1,KORD,KFLL,19
1,KORD,KIAD,22
1,KORD,KIAH,44
1,KORD,KLAS,15
1,KORD,KLAX,33
1,KORD,KLGA,26
1,KORD,KMCI,4
1,KORD,KMCO,5
1,KORD,KMIA,18
1,KORD,KMSN,4
1,KORD,KMSP,11
1,KORD,KOMA,4
1,KORD,KORD,21
1,KORD,KPDX,16
1,KORD,KPHL,17
1,KORD,KPHX,28
1,KORD,KRDU,5
1,KORD,KRSW,11
1,KORD,KSAN,22
1,KORD,KSAT,7
1,KORD,KSEA,13
1,KORD,KSFO,53
1,KORD,KSJC,4
1,KORD,KSMF,10
1,KORD,KSNA,14
1,KORD,KSRQ,9
1,KORD,KTPA,24
1,KORD,PANC,5
1,KORF,KDEN,1
1,KORF,KIAD,5
1,KORF,KIAH,5
1,KPDX,KDEN,8
1,KPDX,KEWR,5
1,KPDX,KIAD,5
1,KPDX,KIAH,14
1,KPDX,KORD,15
1,KPDX,KSFO,29
1,KPHL,KDEN,3
1,KPHL,KIAH,8
1,KPHL,KORD,19
1,KPHL,KSFO,9
1,KPHX,KDEN,9
1,KPHX,KEWR,18
1,KPHX,KIAD,9
1,KPHX,KIAH,22
1,KPHX,KORD,28
1,KPHX,KSFO,14
1,KRDU,KDEN,3
1,KRDU,KEWR,13
1,KRDU,KIAD,8
1,KRDU,KIAH,9
1,KRDU,KORD,5
1,KRDU,KSFO,11
1,KRSW,KCLE,2
1,KRSW,KDEN,1
1,KRSW,KEWR,17
1,KRSW,KIAD,5
1,KRSW,KIAH,6
1,KRSW,KORD,16
1,KSAN,KDEN,6
1,KSAN,KEWR,15
1,KSAN,KIAD,15
1,KSAN,KIAH,29
1,KSAN,KLAX,1
1,KSAN,KORD,20
1,KSAN,KSFO,32
1,KSAT,KDEN,7
1,KSAT,KEWR,4
1,KSAT,KIAD,5
1,KSAT,KIAH,28
1,KSAT,KORD,1
1,KSEA,KDEN,9
1,KSEA,KEWR,14
1,KSEA,KIAD,8
1,KSEA,KIAH,19
1,KSEA,KORD,18
1,KSEA,KSFO,32
1,KSFO,KATL,10
1,KSFO,KAUS,11
1,KSFO,KBNA,6
1,KSFO,KBOS,23
1,KSFO,KBWI,5
1,KSFO,KCLE,4
1,KSFO,KCMH,4
1,KSFO,KCVG,3
1,KSFO,KDCA,5
1,KSFO,KDEN,20
1,KSFO,KDFW,9
1,KSFO,KDTW,5
1,KSFO,KEWR,71
1,KSFO,KFLL,7
1,KSFO,KIAD,32
1,KSFO,KIAH,49
1,KSFO,KIND,1
1,KSFO,KLAS,33
1,KSFO,KLAX,28
1,KSFO,KMCO,2
1,KSFO,KMIA,5
1,KSFO,KORD,56
1,KSFO,KPDX,28
1,KSFO,KPHL,9
1,KSFO,KPHX,11
1,KSFO,KRDU,10
1,KSFO,KSAN,32
1,KSFO,KSEA,33
1,KSFO,KSFO,13
1,KSFO,KSNA,18
1,KSFO,KSTL,4
1,KSFO,KTPA,5
1,KSJC,KDEN,3
1,KSJC,KIAH,8
1,KSJC,KORD,5
1,KSLC,KEWR,2
1,KSLC,KIAH,1
1,KSMF,KDEN,3
1,KSMF,KEWR,4
1,KSMF,KIAD,5
1,KSMF,KIAH,9
1,KSMF,KORD,8
1,KSNA,KDEN,8
1,KSNA,KEWR,15
1,KSNA,KIAH,19
1,KSNA,KORD,11
1,KSNA,KSFO,18
1,KSRQ,KEWR,5
1,KSRQ,KORD,12
1,KSTL,KIAH,5
